phase,episode_index,seed,frame_index,time_s,x_m,y_m,z_m,quat_w,quat_x,quat_y,quat_z
validation-source,1,2005201,48,4.799999999999693,1.2779309393462044,-0.4862170265642824,1.1990449012332516,0.9999816166006236,-0.005759687867866936,-0.0018953639039342785,-7.220876358056614e-06
validation-source,1,2005201,49,4.899999999999682,1.337416355203398,-0.44067067556820755,1.199100695742727,0.9999690344413908,-0.007775119232501883,-0.001215596429958651,-2.143084386749737e-06
validation-source,1,2005201,50,4.999999999999671,1.3966534265300659,-0.39361313176993457,1.199190593353442,0.9999605298025195,-0.008820630287310807,-0.0010655082434504496,3.2530040050381004e-06
validation-source,1,2005201,51,5.09999999999966,1.4556823395270748,-0.344844876947149,1.199296073775731,0.9999615489706741,-0.008718045916756817,-0.0009466911095830913,5.613034400671298e-06
validation-source,2,2005202,0,0.0,-1.6,-0.20902026574681618,1.2,1.0,0.0,0.0,0.0
validation-source,2,2005202,1,0.10000000000000007,-1.5996197665358123,-0.20928506058984397,1.2000759318306973,0.9997634552549897,0.012425382585091726,0.017829624665452157,0.0008648054739530384
validation-source,2,2005202,2,0.20000000000000015,-1.595673930306318,-0.21199557968011232,1.2006505117868331,0.998820774555469,0.026681019521993685,0.04050955056201004,0.0020395653811636954
validation-source,2,2005202,3,0.3000000000000002,-1.5838732879847244,-0.21982915141070297,1.2016556105985747,0.9979991762475362,0.033134524856995876,0.05378648102211118,0.0026003713194122733
validation-source,2,2005202,4,0.4000000000000003,-1.5615977866310842,-0.23408699064964705,1.202572732472153,0.9977226092371483,0.034249662892277204,0.058050820401886284,0.002580282823535948
validation-source,2,2005202,5,0.5000000000000003,-1.5280156553953474,-0.25501107953936103,1.202991421079053,0.9979266321169713,0.03296309187718792,0.05523496418466684,0.0022293983705326628
validation-source,2,2005202,6,0.6000000000000004,-1.483679602316989,-0.28235655791241987,1.202729146389138,0.9984219900819298,0.030508918252006557,0.047114192068153295,0.0017287376020685362
validation-source,2,2005202,7,0.7000000000000005,-1.4301463828631735,-0.3156473131948426,1.2018688513741382,0.9989744299131339,0.027077005510586193,0.03626905825004923,0.0012163741048403206
validation-source,2,2005202,8,0.8000000000000006,-1.3695021025673966,-0.35422721760958614,1.2006564009840197,0.9994259319850999,0.022908687197436797,0.02494783053306569,0.0007773533938709832
validation-source,2,2005202,9,0.9000000000000007,-1.3039249480324153,-0.3972784307600263,1.1993586667297707,0.9997288246555153,0.01756784996941156,0.015278588976134119,0.0004609981060249183
validation-source,2,2005202,10,1.0000000000000007,-1.2353012350940094,-0.4437586867901734,1.1981738337823291,0.9999067519997203,0.011010272517203582,0.008074136808816728,0.00026366504980226014
validation-source,2,2005202,11,1.1000000000000008,-1.1650625085030446,-0.49242187161254236,1.197229481164455,0.9999828661871081,0.005247525911837634,0.002589963917715458,0.000151297474242271
validation-source,2,2005202,12,1.2000000000000008,-1.0943107482904266,-0.5421576799607757,1.1965838919575233,0.9999955619775786,0.0017297190146913933,-0.0024239824626556008,9.168586649070315e-05
validation-source,2,2005202,13,1.300000000000001,-1.0240259686785256,-0.5922452892004809,1.1962349802481411,0.9999764845962813,-0.0008278193307901323,-0.006807339802285013,7.137531752736366e-05
validation-source,2,2005202,14,1.400000000000001,-0.9550515748636887,-0.6421309627561771,1.1961489581421434,0.9999412890596335,-0.005119897505843698,-0.009549677961580886,9.345650557571218e-05
validation-source,2,2005202,15,1.500000000000001,-0.8879087196977082,-0.6909261099788352,1.196297573499344,0.9998613375526578,-0.013545589920525666,-0.009685281331423918,0.00013411430420232122
validation-source,2,2005202,16,1.6000000000000012,-0.8226148754816706,-0.7370653578802827,1.1966546328372214,0.9997369903181327,-0.021925457130774918,-0.00672405339483823,0.00010782017992770245
validation-source,2,2005202,17,1.7000000000000013,-0.7585958810425807,-0.7789918586758108,1.1971102785014598,0.9996844709910682,-0.02509215842116261,-0.0011584646432993638,-2.178450979037454e-06
validation-source,2,2005202,18,1.8000000000000014,-0.6948112134480264,-0.8160213435240444,1.1975914674377028,0.9996621271731577,-0.025643479629244664,0.004245957780087724,-0.00012365545810877362
validation-source,2,2005202,19,1.9000000000000015,-0.6302194480720391,-0.8480578065394889,1.1980539012203517,0.9996805532983353,-0.02397028412312004,0.008011202023910112,-0.00019359318798816926
validation-source,2,2005202,20,2.0000000000000013,-0.5641241415699936,-0.8754201978261564,1.1984281582303151,0.9997577381665917,-0.020450943803502004,0.008135940043824832,-0.00017422160856901618
validation-source,2,2005202,21,2.0999999999999903,-0.4964535916908624,-0.8987579785050676,1.1987192280755963,0.9998276513732017,-0.01735841826071801,0.006583072609946176,-0.00012657031430935895
